輕裝步兵大師	Peltasta Master	펠타스타 마스터
請與柯拉佩達的高地戰士大師對話。	Talk to the Highlander Master in Klaipeda	클라페다에 있는 하이랜더 마스터와 대화해 보세요.
消滅瑪凌波石窟的史潘飛行獸人	Defeat Sparnas Men in Rhombuspaving Dale	마름포석골의 스파나스맨 처치
消滅死靈查普利	Defeat Chapparition	채퍼리션 처치
請與柯拉佩達的聖火祭司大師對話。	Talk to the Krivis Master in Klaipeda	클라페다에 있는 크리비 마스터와 대화해 보세요.
和聖火祭司大師對決	Duel with the Krivis Master	크리비 마스터와 대련
聖火祭司的認同	Acknowledgment of Krivis	크리비의 인정
和聖水祭司大師對決	Duel with the Priest Master	프리스트 마스터와 대련
聖水祭司的認同	Acknowledgment of Priest	프리스트의 인정
請去找柯拉佩達的劍士大師。	Find the Swordsman Master in Klaipeda	클라페다에 있는 소드맨 마스터를 찾아가세요.
消滅魔法師之塔3層的米諾牛頭怪	Defeat Minotaur in Mage Tower 3F	마법사의 탑 3층의 미노타우로스 처치
和佩迪米安的百夫長大師對話	Talk to the Centurion Master in Fedimian	페디미안의 센츄리온 마스터와 대화
請去找佩迪米安的百夫長大師。	Find the Centurion Master in Fedimian	페디미안에 있는 센츄리온 마스터를 찾아가세요.
和百夫長大師對決	Duel against the Centurion Master	센츄리온 마스터와 대련
與百夫長大師對話	Talk to the Centurion Master	센츄리온 마스터와 대화
百夫長的認同	Acknowledgment of Centurion	센츄리온의 인정
與聖者大師對話	Talk to the Sadhu Master	사두 마스터와 대화
與佩迪米安的聖者大師對話	Talk to the Sadhu Master in Fedimian	페디미안에서 사두 마스터와 대화해 보세요.
和聖者大師對決	Duel with the Sadhu Master	사두 마스터와 대련
聖者的認同	Acknowledgment of Sadhu	사두의 인정
刀騎兵大師的呼喚	Call of the Hackapell Master	하카펠 마스터의 부름
到佩迪米安，刀騎兵大師正在找你。	The Hackapell Master is looking for you at Fedimian	페디미안에서 하카펠 마스터가 당신을 찾고 있습니다
和刀騎兵大師對決	Duel against the Hackapell Master	하카펠 마스터와의 대련
與刀騎兵大師對話	Talk to the Hackapell Master	하카펠 마스터와 대화
刀騎兵的認同	Acknowledgment of Hackapell	하카펠의 인정
與巫蠱師大師對話	Talk to the Wugushi Master	무고사 마스터와 대화
請到佩迪米安與巫蠱師大師對話	Talk to the Wugushi Master in Fedimian	페디미안에 있는 무고사 마스터와 대화해 보세요.
和巫蠱師大師對決	Duel with the Wugushi Master	무고사 마스터와 대련
巫蠱師的認同	Acknowledgment of Wugushi	무고사의 인정
到佩迪米安和圓盾劍士大師對話。	Talk with the Rodelero Master in Fedimian	페디미안에 있는 로렐레로 마스터와 대화하세요.
將盾牌系列裝備強化制6階段	Upgrade Shield to level 6	방패 계열 장비를 6단계로 강화
與侍從大師對話	Talk to the Squire Master	스콰이어 마스터와 대화
請去找佩迪米安的侍從大師。	Meet the Squire Master in Fedimian	페디미안에 있는 스콰이어 마스터를 찾아 가세요.
和侍從大師對決證明自己的能力	Prove your skills by dueling against the Squire Master	스콰이어 마스터와 대련해서 실력을 증명
請藉由和侍從大師對決證明自己的能力。	Prove your skills by dueling against the Squire Master	스콰이어 마스터와의 대련을 통해 실력을 증명하세요.
和侍從大師對決	Duel against the Squire Master	스콰이어 마스터와 대련
與奇術師大師對話	Talk with the Thaumaturge Master	쏘마터지 마스터와 대화
到佩迪米安和奇術師大師對話。	Talk with the Thaumaturge Master in Fedimian	페디미안에 있는 쏘마터지 마스터와 대화하세요.
到魔法師之塔 3層收集魔法研究資料	Collect the magic research documents in Mage Tower 3F	마법사의 탑 3층에서 마법 연구 자료 모으기
交給奇術師大師	Give it to the Thaumaturge Master	쏘마터지 마스터에게 전달
到佩迪米安和元素使大師對話。	Talk with the Elementalist Master in Fedimian	페디미안에 있는 엘레멘탈리스트 마스터와 대화하세요.
執行元素使大師的課題	Complete the assignment from the Elementalist Master	엘레멘탈리스트 마스터의 과제 수행
轉交課題給元素使大師	Hand over the assignment to the Elementalist Master	엘레멘탈리스트 마스터에게 과제 전달
史萊姆	Slime	슬라임
碑石青苔泥人	Tombstone Golems	비석 골렘
與斥候大師對話	Talk to the Scout Master	스카우트 마스터와 대화
請與佩迪米安的斥候大師對話。	Talk to the Scout Master in Fedimian	페디미안에 있는 스카우트 마스터와 대화해 보세요.
和斥候大師對決	Duel against the Scout Master	스카우트 마스터와 대련
與聖殿十字軍大師對話	Talk to the Paladin Master	팔라딘 마스터와 대화
向聖殿十字軍大師報告	Report to the Paladin Master	팔라딘 마스터에게 보고
與鐵甲騎兵大師對話	Talk to the Cataphract Master	캐터프랙트 마스터와 대화
向鐵甲騎兵大師報告	Report to the Cataphract Master	캐터프랙트 마스터에게 보고
向水晶礦山1層的布貝取得蘊含魔力的袋子	Get the pouch with evil aura from the Vubbes in Crystal Mine 1F	수정광산 1층 부베들에게 마기가 깃든 주머니 획득
聖水祭司大師要你消滅佔領水晶礦山1層的布貝已證明你是可靠的。	The Priest Master ask you to defeat the Vubbes occupying Crystal Mine 1F as a proof of your faith	프리스트 마스터는 신실함의 증명으로 수정광산 1층을 점령한 부베들을 처치하고 
要你幫忙取得	Imbued Evil Energy Pouch	마기가 깃든 주머니
交給聖水祭司大師	Give the pouches to the Priest Master	프리스트 마스터에게 전달
搜尋聖火祭司兄弟	Krivis Brother Investigation	크리비 형제 수색
與聖火祭司兄弟對話	Talk to Krivis Brother	크리비 형제와 대화
請消滅覬覦聖物的布貝	Defeat the Vubbes who are after the sacred relic	성물을 노리는 부베들을 처치하세요
到柯拉佩達和劍士大師對話。	Talk to the Swordsman Master	클라페다에 있는 소드맨 마스터와 대화하세요
收集水晶礦山1層石頭歐魯卡的心臟	Collect the hearts of Stone Orcas in Crystal Mine 1F	수정광산1층에서 스톤오르카의 심장 수집
交給劍士大師	Hand it over to the Swordsman Master	소드맨 마스터에게 전달
獲得石頭歐魯卡的心臟	Obtained the hearts of Stone Orca	스톤오르카의 심장 획득
消滅撕裂者	Defeat Shredded	쉬레디드를 처치
抹殺撕裂者	Annhilate Shreddeds	쉬레디드 말살
消滅蝙蝠並獲得蝙蝠翅膀	Obtain bats wings by defeating bats	박쥐를 처치해 박쥐의 날개 획득
交給弓箭手大師	Hand them over to the Archer Master	아처 마스터에게 전달
獲得蝙蝠翅膀	Obtain bat wings	박쥐 날개 획득
去水晶礦山1層收集布貝身上的綠色膏藥	Get green ointments from the Vubbes in Crystal Mine 1F	수정광산 1층의 부베에게서 녹색 고약 수집
交給牧師大師	Give them to the Cleric Master	클레릭 마스터에게 전달
獲得綠色膏藥	Obtained green ointment	녹색 고약 획득
把聖物交給聖火祭司大師	Hand over the sacred relic to the Krivis Master	크리비 마스터에게 성물 전달
尋訪劍士大師	Meet the Swordsman Master	소드맨 마스터 찾아가기
請去找柯拉佩達的劍士大師。	Meet the Swordsman Master in Klaipeda	클라페다에 있는 소드맨 마스터를 찾아 가세요.
在大教堂的懺悔路使用挑釁用寶珠	Use the provoking orb at Penitence Route of Great Cathedral	대성당의 참회로에서 도발용 보주 사용
尋訪高地戰士大師	Find the Highlander Master	하이렌더 마스터 찾아가기
尋訪輕裝步兵大師	Find the Peltasta Master	펠타스타 마스타 찾아가기
尋訪騎士團長烏斯卡	Meet Uska	기사단장 우스카 찾아가기
消滅水晶礦山2層的傳聞的元凶	Defeat the source of the rumor in Crystal Mine 2F	수정광산 2층의 소문의 원흉 처치
向騎士團長烏斯卡報告	Report to Knight Commander Uska	기사단장 우스카에게 보고
回去找高地戰士大師	Return to the Highlander Master	하이랜더 마스터에게 돌아가기
尋訪輕裝步兵大師	Find the Peltasta Master	펠타스타 마스터 찾아가기
請去找柯拉佩達的輕裝步兵大師。	Meet the Peltasta Master in Klaipeda	클라페다에 있는 펠타스타 마스터를 찾아가 보세요.
尋訪高地戰士大師	Find the Highlander Master	하이랜더 마스터 찾아가기
與高地戰士大師對話	Talk to the Highlander Master	하이랜더 마스터 대화
尋訪造箭者大師	Meet the Fletcher Master	플레쳐 마스터 찾아가기
與造箭者大師對話	Talk to the Fletcher Master	플레쳐 마스터와 대화
到水晶小溪收集	Defeat Moas in Crystal Brook	수정개울에서 모아 처치
向造箭者大師報告	Report to the Fletcher Master	플레쳐 마스터에게 보고
向輕裝步兵大師報告	Report to the Peltasta Master	펠타스타 마스터에게 보고
尋訪海賊大師	Meet the Corsair Master	커세어 마스터 찾아가기
請去拜訪大餓鬼路的海賊大師	Meet the Corsair Master in Starving Demon's Way	큰아귀 길에 있는 커세어 마스터를 찾아가세요.
找回海賊大師的物品	Retrieve the objects from the Corsair Master	커세어 마스터의 물건 되찾기
交給海賊大師	Hand them over to the Corsair Master	커세어 마스터에게 전달
尋找入港許可書	Find the permission to the Port entry	입항허가서 찾기
尋找航海圖	Find the Sailing Map	항해도 찾기
尋找契約書	Find the Contract	계약서 찾기
圓盾劍士大師	Find the Rodelero Master	로델레로 마스터 찾기
去拜訪佩迪米安的圓盾劍士大師。	Meet the Rodelero Master in Fedimian	페디미안에 있는 로델레로 마스터를 찾아 가세요.
和圓盾劍士大師對決	Duel against the Rodelero Master	로델레로 마스터와 대련
戰勝圓盾劍士大師	Defeat the Rodelero Master	로델레로 마스터 제압
尋訪弓箭手大師	Find the Archer Master	아처 마스터 찾아가기
到棲身的樹木山溝找造箭者大師	Meet the Fletcher Master in Remaining Tree Dale	머무르는 나뭇골의 플레쳐 마스터 찾아가기
在大教堂的懺悔路收集優質磨刀石	Gather Charcoal Stones from Penitence Route	대성당의 참회로에서 질 좋은 숫돌 모아오기
交給造箭者大師	Give them to the Fletcher Master	플레쳐 마스터에게 전달
尋訪遊俠大師	Go to the Ranger Master	레인저 마스터 찾아가기
請去找柯拉佩達的遊俠大師。	Meet the Ranger Master in Klaipeda	클라페다에 있는 레인저 마스터에게 찾아 가세요.
在大教堂收集莫亞體液樣本	Extract the fluids from Moyas at the Great Cathedral	대성당 모야 체액 샘플 수집
交給遊俠大師	Deliver it to the Ranger Master	레인저 마스터에게 전달
怪物的液體	Monster Fluid	몬스터의 체액
尋訪工兵大師	Find the Sapper Master	새퍼 마스터 찾아가기
請去找夏奧雷伊東邊森林的工兵大師。	Find the Sapper Master in East Siauliai Woods	샤울레이 동쪽 숲에 있는 새퍼 마스터를 찾아 가세요.
消滅破旗森林的比特雷巨蜂	Defeat Biteregina in Sunset Flag Forest	해진깃발숲의 비테레지나 처치
請到棲身的樹木山溝找造箭者大師。	Meet the Fletcher Master in Remaining Tree Dale	머무르는 나뭇골에 있는 플레쳐 마스터를 찾아 가세요.
收集發出聲音的樹木	Collected Whistling Wood	소리나는 나무 수집
尋訪獵人大師	Go to the Hunter Master	헌터 마스터 찾아가기
請去找夏奧雷伊東邊森林的獵人大師。	Go to the Hunter Master in East Siauliai Woods	샤울레이 동쪽 숲에 있는 헌터 마스터를 찾아가 보세요.
狩獵3種怪物	Hunt for 3 kinds of monsters	몬스터 3종 사냥
向獵人大師報告	Report to the Hunter Master	헌터 마스터에게 보고
大餓鬼路的凱帕里	Keparis in Starving Demon's Way	큰아귀 길의 케파리
散佈的階梯的克多摩爾	Kodomors in Scattered Stairways	흩어진 계단의 코도모르
赤褐木斷層森林的柯瓦	Kowaks in Purple Tree Fault Forest	적갈나무 단층숲의 코왁
尋訪巫蠱師大師	Go to the Wugushi Master	무고사 마스터를 찾아가기
請去見佩迪米安的巫蠱師大師。	Meet the Wugushi Master in Fedimian	페디미안에 있는 무고사 마스터를 찾아 가세요.
收集合成毒	Collect the composite poison	합성독 수집
交給巫蠱師大師。	Deliver it to the Wugushi Master	무고사 마스터에게 전달
獲得合成毒	Get Combined Poison	합성독 습득
尋訪斥候大師	Go to the Scout Master	스카우트 마스터 찾아가기
請去拜訪佩迪米安的斥候大師。	Meet the Scout Master in Fedimian	페디미안에 있는 스카우트 마스터를 찾아 가 보세요.
利用閃光彈去偵測怪物並消滅	Use Flares to detect monsters and defeat them	섬광탄으로 몬스터를 탐지하여 처치
向斥候大師報告	Report to the Scout Master	스카우터 마스터에게 보고
消滅被偵測到的怪物	Defeat the monsters	탐지당한 몬스터 처치
尋訪弩箭手大師	Go to the Quarrel Shooter Master	쿼렐슈터 마스터 찾아가기
取得利迪亞夏班的祕石拓本	Get the rubbings from Lydia Schaffen's Gravestone	리디아 샤펜의 비석 탁본 구해오기
交給弩箭手大師	Deliver to the Quarrel Shooter Master	쿼렐슈터 마스터에게 전달
尋訪流氓大師	Go to the Rogue Master	로그 마스터 찾아가기
請去找佩迪米安的流氓大師。	Go to the Rogue Master in Fedimian	페디미안에 있는 로그 마스터를 찾아 가세요.
使用煙幕彈甩掉5個怪物	Use Smoke Bombs to surpass 5 monsters	연막탄을 사용하여 몬스터 5마리 따돌리기
向流氓大師報告	Report to the Rogue Master	로그 마스터에게 보고
尋訪重裝步兵大師	Go to the Hoplite Master	하플라이트 마스터 찾아가기
請去找夏奧雷伊西邊森林的重裝步兵大師。	Find the Hoplite Master in West Siauliai Woods	샤울레이 서쪽 숲의 하플라이트 마스터를 찾아 가세요.
消滅大教堂正殿的鬼影凱伊洛	Defeat Shadowgaler in the main chamber of the Great Cathedral	대성당 본당의 섀도게일러 처치
向重裝步兵大師報告	Report to the Hoplite Master	하플라이트 마스터에게 보고
消滅暗影凱伊洛	Defeat Shadowgaler	섀도게일러 처치
尋訪野蠻人大師	Meet the Barbarian Master	바바리안 마스터 찾아가기
請和夏奧雷伊東邊森林的野蠻人對話。	Talk to the Barbarian Master in East Siauliai Woods	샤울레이 동쪽 숲의 바바리안과 대화해 보세요.
消滅大教堂正殿的石鯨 	Defeat Yekubs in the main chamber of the Great Cathedral	대성당 본당의 예쿱 처치
向野蠻人大師報告	Report to the Barbarian Master	바바리안 마스터에게 보고
消滅耶庫	Defeat Yekub	예쿱 처치
尋訪侍從大師	Meet the Squire Master	스콰이어 마스터 찾아가기
請和佩迪米安的侍從大師對話。	Talk to the Squire Master in Fedimian	페디미안에 있는 스콰이어 마스터와 대화해 보세요.
使用捆索繩	Use the tie rope	포박 포승줄 사용하기
回去找侍從大師	Return to the Squire Master	스콰이어 마스터에게 돌아가기
尋訪百夫長大師	Meet the Centurion Master	센츄리온 마스터 찾아가기
請去拜訪大餓鬼路上的百夫長大師。	Meet the Centurion Master at Starving Demon's Way	큰아귀 길에 있는 센츄리온 마스터를 찾아 가세요.
消滅增岩森林的曼陀花獸	Defeat Colimencia in Layered Rock Forest	점층바위 숲의 콜리멘시아 처치
回去找百夫長大師	Return to the Centurion Master	센츄리온 마스터에게 돌아가기
消滅曼陀花獸	Defeat Colimencia	콜리멘시아 처치
弓箭手大師的呼喚	Call of the Archer Master	아처 마스터의 부름
到柯拉佩達，弓箭手大師正在找你。	Call of the Archer Master	클라페다에 있는 아처 마스터가 당신을 찾고 있습니다
消滅露克立斯街道的斯帕娜史霍	The Archer Master in Klaipeda is looking for you	루클리스 거리의 스파나스혼 처치
弓箭手大師說需要評估你的能力。請在露克立斯街道消滅斯帕娜史霍後回去找弓箭手大師	Defeat Sparnashorn in Ruklys Street	아처 마스터는 기량을 잴 수 있는 것이 필요하다고 합니다. 루클리스 거리에서 스파나스혼을 처치하고 아처 마스터에게 돌아가세요
消滅斯帕娜史霍	Defeat Sparnashorn	스파나스혼 처치
遊俠大師的呼喚	Call of the Ranger Master	레인저 마스터의 부름
到柯拉佩達，遊俠大師正在找你。	The Ranger Master in Klaipeda is looking for you	클라페다의 레인저 마스터가 당신을 찾고 있습니다
消滅冷清市集的地心蟲王	Defeat Reaverpede in Lonesome Marketplace	스산한 장터의 리버피드 처치
消滅地心蟲王	Defeat Reaverpede	리버피드 처치
弩箭手大師的呼喚	Call of the Quarrel Shooter Master	쿼렐슈터 마스터의 부름
到柯拉佩達，弩箭手大師正在找你。	The Quarrel Shooter Master in Klaipeda is looking for you	클라페다에 있는 쿼렐슈터 마스터가 당신을 찾고 있습니다
消滅市中心街道的神殿射手	Defeat the Templeshooter of Town Center	중심시가의 템플슈터 처치
向弩箭手大師	Report to the Quarrel Shooter Master	쿼렐슈터 마스터에게 보고
射殺神殿射手	Defeat Templeshooter	템플슈터 사살
工兵大師的呼喚	Call of the Sapper Master	새퍼 마스터의 부름
獲得天然瑪瑙石	Obtained Natural Mano Stones	천연 마노석 획득
獵人大師的呼喚	Call of the Hunter Master	헌터 마스터의 부름
到夏奧雷伊東邊森林，獵人大師正在找你。	The Hunter Master in East Siauliai Woods is looking for you	샤울레이 동쪽 숲에서 헌터 마스터가 당신을 찾고 있습니다
於冷清市集中消滅大量牛頭人	Defeat frantic Minotaur in Lonesome Marketplace	스산한 장터에서 흥분한 미노타우르스 처치
交給獵人大師	Hand it over to the Hunter Master	헌터 마스터에게 전달
獲得巨大獠牙	Obtain the gigantic canine	거대한 송곳니 획득
巫蠱師大師的呼喚	Call of the Wugushi Master	무고사 마스터의 부름
到佩迪米安，巫蠱師大師正在找你。	The Wugushi Master in Fedimian is looking for you	페디미안의 무고사 마스터가 당신을 찾고 있습니다
消滅市中心街道的拉查托特	Defeat Rajatoad in the central district	중심시가의 라자토드 처치
向巫蠱師大師報告	Report back to the Wugushi Master	무고사 마스터에게 보고
斥候大師的呼喚	The Call of the Scout Master	스카우트 마스터의 부름
消滅露克立斯街道的鐵甲僵屍 	Defeat Deadborn in Ruklys Street	루클리스 거리의 데드본 처치
向斥候大師報告	Report to the Scout Master	스카우트 마스터에게 보고
流氓大師的呼喚	Call of the Rogue Master	로그 마스터의 부름
請去找佩迪米安的流氓大師。	Go to the Rogue Master in Fedimian	페디미안의 로그 마스터를 찾아 가세요.
和流氓大師對決	Duel with the Rogue Master	로그 마스터와 대련
與流氓大師對話	Talk to the Rogue Master	로그 마스터와 대화
戰勝流氓大師	Dominate the Rogue Master	로그 마스터 제압
造箭者大師的呼喚	The Call of the Fletcher Master	플레쳐 마스터의 부름
收集易燃石	Collect the well burnable stones	잘 타는 돌멩이 수집
收集易燃石頭	Collect flammable stones	잘 타는 돌맹이 수집
黑暗騎兵大師的呼喚	Call of the Schwarzer Reiter Master	슈바르츠라이터 마스터의 부름
到加橋森林，黑暗騎兵大師正在找你。	The Schwarzer Reiter Master is looking for you at Woods of Attached Bridge	덧댄다리 숲에 있는 슈바르츠라이터 마스터가 당신을 찾고 있습니다
和黑暗騎兵大師練習對決	Duel against Schwarzer Reiter Master	슈바르츠라이터 마스터와 대련
與黑暗騎兵大師對話	Talk to the Schwarzer Reiter Master	슈바르츠라이터 마스터와 대화
黑暗騎兵的認可	Acknowledgement of Schwarzer Reiter	슈바르츠라이터의 인정
尋訪牧師大師	Go to the Cleric Master	클레릭 마스터 찾아가기
請去找柯拉佩達的牧師大師對話。	Go and talk to the Cleric Master in Klaipeda	클라페다에 있는 클레릭 마스터를 찾아 대화해 보세요.
在冷清市集尋找野花花蕊	Obtain Wildflower Stamen from Lonesome Marketplace	스산한 장터에서 야생화 꽃술 구하기
回去找牧師大師	Return to the Cleric Master	클레릭 마스터에게 돌아가기
野花花蕊	Wildflower Stamen	야생화 꽃술
在市中心街道回收遺失的聖物	Retrieve the lost Holy Materials in the Town Center	중심 시가에서 잃어버린 성물 회수
交給聖火祭司大師	Deliver it to the Krivis Master	크리비 마스터에게 전달
消滅毒魔蛙圖圖	Defeat Tutu	투투 처치
勘查露克立斯街道	Search the Ruklys Street	루클리스 거리 탐색
清除邪惡氣息的根源	Remove the Source of Evil Aura	사악한 기운의 근원 처치
獲取冷清市集的石鯨怪的精髓	Obtain the essences of the petrified whales from Lonesome Marketplace	스산한 장터에서 석화고래의 정수 획득
交給邪靈祭司大師	Deliver it to the Bokor Master	보코르 마스터에게 전달
請去拜訪瑪凌波石窟的雕刻家泰斯拉。	Meet the Sculptor Tesla in Rhombuspaving Dale	마름포석골에 있는 조각가 테슬라를 찾아가세요.
在市中心街道取得雕刻材料	Get piece materials from town center	중심시가에서 조각 재료 구하기
請交給雕刻家泰斯拉	Give it to Sculptor Tesla	조각가 테슬라에게 전달
尋找材料	Find the Materials	재료 찾기
去拜訪佩迪米安的聖者大師	Meet the Sadhu Master in Fedimian	페디미안에 있는 사두 마스터를 찾아가세요.
找出惡夢的原因並消除	Find the source of the nightmare and eliminate it	악몽의 근원을 찾아서 제거
消滅妨礙睡眠的惡靈君主	Defeat the Specter Monarch that was the source of the nightmares	수면을 방해하는 스펙터 군주 처치
請去拜訪玉光懸崖的聖殿十字軍 大師。	Meet the Paladin Master in Emerald Bluffs	옥빛서린 벼랑에 있는 팔라딘 마스터를 찾아가세요.
消滅冷清市集的魔鬼鰩	Defeat Rajapearl in Lonesome Marketplace	스산한 장터의 라자펄 처치하기
消滅魔鬼鰩	Defeat Rajapearl	라자펄 처치
與武僧大師對話	Talk to the Monk Master	몽크 마스터와 대화
到棲身的樹木山溝找武僧大師。	Find the Monk Master in Remaining Tree Dale	머무르는 나뭇골에 있는 몽크 마스터를 찾아가세요.
消滅市中心街道的雷普斯並取得雷普斯的腳指甲	Defeat Lepus in the central district and obtain the toe nails of Lepus	중심시가의 레푸스를 처치하고 레푸스의 발톱 획득
交給武僧大師	Give it to the Monk Master	몽크 마스터에게 전달
消滅敏捷的雷普斯	Defeat Quick Lepus	재빠른 레푸스 처치
與寬恕者大師對話	Talk to the Pardoner Master	파드너 마스터와 대화
請去拜訪水晶小溪的寬恕者大師。	Meet the Pardoner Master in Crystal Brook	수정개울에 있는 파드너 마스터를 찾아가세요.
找回遺失的免死牌巨款	Get back the lost payment of indulgence	잃어버린 면죄부의 대금 되찾기
交給寬恕者大師	Give it to the Pardoner Master	파드너 마스터에게 전달
消滅突然出現的巨眼丹提	Defeat Denoptics that suddenly appeared	갑자기 나타난 덴옵틱 처치
神諭師大師的呼喚	Call of the Oracle Master	오라클 마스터의 부름
和神諭師大師對決	Duel with the Oracle Master	오라클 마스터와의 대련
與神諭師大師對話	Talk to the Oracle Master	오라클 마스터와 대화
得到神諭師大師的認同	Earn Recognition of the Oracle Master	오라클 마스터에게 인정받기
請去找柯拉佩達的邪靈祭司大師。	Go to the Bokor Master in Klaipeda	클라페다의 보코르 마스터에게 찾아가세요.
製作邪靈祭司人偶	Make Bokor Doll	보코르 인형 제작
 按下按鍵進入休息模式後 	Press the key to go into the Rest Mode	 키를 눌러 휴식모드 후 
請按S鍵開始製作邪靈祭司玩偶	Craft Bokor Doll by pressing S key	S 키를 눌러 보코르 인형 제작
向邪靈祭司大師報告	Report to the Bokor Master	보코르 마스터에게 보고
請去找柯拉佩達的輕裝步兵大師。	Go to the Peltasta Master in Klaipeda	클라페다에 있는 펠타스타 마스터를 찾아가세요.
消滅水晶礦山1層的布貝	Defeat the Vubbes in Crystal Mine 1F	수정광산 1층의 부베 처치
消滅水晶礦山1層的布貝	Defeat the Vubbes in Crystal Mine 1F	수정광산 1층에서 부베 처치
消滅水晶礦山1層的布貝	Defeat the Vubbes in Crystal Mine 1F	수정광산1층의 부베처치
幫助邪靈祭司大師的研究	Help with the Bokor Master's research	보코르 마스터의 연구 돕기
被召喚的惡靈	Summoned Evil	소환된 악령
開啟烈焰法師大師的箱子	Open the Pyromancer Master's Box	파이로맨서 마스터의 상자 열기
向寒冰法師大師報告	Report to the Cryomancer Master	크리오맨서 마스터에게 보고
消滅契約守護者	Defeat the Guardian of Contract	계약의 수호자 처치
尋訪大餓鬼路的百夫長大師	Go to the Centurion Master in Starving Demons' Road	큰아귀길에 있는 센츄리온 마스터 찾아가기
挖採尼扣堤亞的嫩芽	Dig the young shoot of Nicotia	니코티아의 어린 순 캐기
消滅擋在藥草產地前的比特雷巨蜂	Defeat the Biteregina blocking medicinal herb's habitat	약초 자생지 앞을 막고 있는 비테레지나 처치
挖採藥草	Collect medicinal herbs	약초 캐기
與聖火祭司大師見面	Meet the Krivis Master	크리비 마스터 만나기
請去找柯拉佩達的聖火祭司大師。	Go to the Krivis Master in Klaipeda	클라페다에 있는 크리비 마스터를 찾아 가세요.
與聖水祭司大師見面	Meet the Priest Master	프리스트 마스터 만나기
幫助聖水祭司大師的工作	Help the Priest Master's work	프리스트 마스터의 일 도와주기
與牧師大師見面	Meet with the Cleric Master	클레릭 마스터 만나기
參拜佩迪米安的女神像	Worship the Goddess Statue in Fedimian	페디미안의 여신상에 경배하기
向聖火祭司大師報告	Report to the Krivis Master	크리비 마스터에게 보고
祛除邪惡的氣息	Defeat the evil force	사악한 기운 물리치기
與邪靈祭司大師見面	Meet the Bokor Master	보코르 마스터 만나기
請去找柯拉佩達的邪靈祭司大師。	Go to the Bokor Master in Klaipeda	클라페다의 보코르 마스터를 찾아 가세요.
向聖火祭司大師取得寶石	Get the jewel from the Krivis Master	크리비 마스터에게 보석 받아 오기
回去找邪靈祭司大師	Return to the Bokor Master	보코르 마스터에게 돌아가기
與雕刻家泰斯拉見面	Meet with Sculptor Tesla	조각가 테슬라 만나기
與瑪凌波石窟的雕刻家泰斯拉對話。	Talk to Sculptor Tesla in Rhombuspaving Dale	마름포석골에 있는 조각가 테슬라와 대화해 보세요.
向牧師大師取得香油	Receive balm from the Cleric Master	클레릭 마스터에게 향유 받기
向聖火祭司大師取得香油	Get balm from the Krivis Master	크리비 마스터에게 향유 받기
向聖水祭司大師取得香油	Receive balm from the Priest Master	프리스트 마스터에게 향유 받기
向邪靈祭司大師取得香油	Receive balm from the Bokor Master	보코르 마스터에게 향유 받기
修整佩迪米安與柯拉佩達的女神像	Restore the Goddess Statues in Fedimian and Klaipeda	페디미안과 클라페다에 있는 여신상 보수하기
向雕刻家泰斯拉報告	Report to Tesla	조각가 테슬라에게 보고
與聖者大師見面	Meet the Sadhu master	사두 마스터 만나기
請與佩迪米安的聖者大師對話。	Talk to the Sadhu Master in Fedimian	페디미안에 있는 사두 마스터와 대화해 보세요.
消滅大餓鬼路的怪物	Defeat Monsters in Starving Demon's Way	큰아귀 길의 몬스터 퇴치
聖者大師要求你幫忙消滅在大餓鬼路上威脅居民的怪物們。	The Sadhu Master asked you to defeat the monsters that are threatening the villagers in Starving Demon's Way	사두 마스터는 큰 아귀 길에서 주민들을 위협하는 몬스터들을 퇴치해 달라고 합니다.
向聖者大師報告	Report to the Sadhu master	사두 마스터에게 보고
消滅大餓鬼路上的怪物	Defeat Monsters in Starving Demon's Way	큰 아귀 길의 몬스터 처치
請去找玉光懸崖的聖殿十字軍大師。	Go to the Paladin Master in Emerald Bluffs	옥빛 서린 벼랑에 있는 팔라딘 마스터를 찾아 가세요.
和聖殿十字軍大師對決	Duel with the Paladin Master	팔라딘 마스터와 대련
通過聖殿十字軍大師的對決考驗	Pass the duel test with the Paladin Master	팔라딘 마스터의 대련 테스트 통과
與武僧大師見面	Meet the Monk Master	몽크 마스터 만나기
到棲身的樹木山溝和武僧大師對話。	Talk with the Monk Master in Remaining Tree Dale	머무르는 나뭇골에 있는 몽크 마스터와 대화하세요.
和武僧大師對決	Duel with the Monk Master	몽크 마스터와 대련
通過武僧大師的考驗	Pass the Monk Master's test	몽크 마스터의 테스트 통과
與寬恕者大師見面	Meet the Pardoner Master	파드너 마스터 만나기
去見佩迪米安的裝備商人	Meet the Equipment Merchant in Fedimian	페디미안의 장비상인 만나러 가기
拜訪佩迪米安道具商人	Meet the Item Merchant in Fedimian	페디미안 도구상인 만나기
獲得火甕	Acquired Fire Pot	불항아리 획득
消滅魔斯怪	Defeat Mothstem	모스템 처치
與佩迪米安的裝備商人對話	Talk to Equipment Merchant in Fedimian	페디미안의 장비상인과 대화
收集大餓鬼路的凝固油	Collect the condensed oil from Starving Demon's Way	큰아귀 길에서 굳은 기름 수집
交給佩迪米安的裝備商人	Give it to the Equipment Merchant in Fedimian	페디미안의 장비상인에게 전달
消除夏奧雷伊西邊森林的危險	Remove the threats of West Siauliai Woods	샤울레이 서쪽 숲의 위험 제거
